group,lon,lat
0,110.3098738084529,19.998514234725707
1,110.34736878226043,20.0217076611728
10,110.32726909363137,20.06238023848992
11,110.36052850311921,20.03469150632271
12,110.37443936140131,19.986016133019852
13,110.46554398001176,19.939318398980987
14,110.33570712676058,19.908352309859154
15,110.22294142886261,20.02156968507949
16,110.35788897145399,20.000034863156877
17,110.34868688574404,20.056660904819513
18,110.49031725176931,19.9752987947586
19,110.33400901146572,20.002188861314714
2,110.43104732559124,19.9695988386878
20,110.26117334038925,20.00910745771349
21,110.40606918463143,20.033695332058418
22,110.3018704503797,20.02044970978442
3,110.19106031960895,20.047615446512502
4,110.2863375892764,19.97858958504182
5,110.33792091865813,20.03520420371773
6,110.37250308413142,20.017128583788676
7,110.32253313841983,20.024613613380257
8,110.3410037142187,19.982955788622835
9,110.28656627168908,20.00721753508362
